<<<<<<< HEAD
Algoritmos	bb	ww	Tempo de Execucao
SMSEMOA	-21.786732959480034	-1.7758918824495349	300
SMSEMOA	-22.16425970891219	1.8848118732421617	300
SMSEMOA	-22.856382196641285	3.417545107561851	300
SMSEMOA	-22.84439326004699	3.2655396099491263	300
SMSEMOA	-22.034606795251875	1.7440677113919492	300
SMSEMOA	-25.209053684800807	24.992399101795815	300
SMSEMOA	-20.588073834851002	-1.259262421292024	300
SMSEMOA	-24.564397125265224	12.106769443788977	300
SMSEMOA	-23.17044528882237	5.1460302261862205	300
=======
Algoritmos	Tempo de Execucao
NSGAII	300
NSGAII	300
NSGAII	300
NSGAII	300
>>>>>>> branch 'master' of https://github.com/ranao-iscteiulpt/ES2-2018-EIC1-44.git
